	Word	Frequency in Positive	Conditional of P(wi/positive)	Frequency in Negative	Conditional of P(wi/negative)
466	obstinately	2	0.00019770660340055358	1	0.000192789666473877
467	being	11	0.0010873863187030447	6	0.001156737998843262
468	series.	2	0.00019770660340055358	1	0.000192789666473877
469	'm	7	0.0006919731119019375	5	0.000963948332369385
470	cracks	2	0.00019770660340055358	1	0.000192789666473877
471	jumps	2	0.00019770660340055358	1	0.000192789666473877
472	common	3	0.0002965599051008304	1	0.000192789666473877
473	boobies	3	0.0002965599051008304	1	0.000192789666473877
474	figure	3	0.0002965599051008304	1	0.000192789666473877
475	speaking	2	0.00019770660340055358	3	0.000578368999421631
476	suppose	2	0.00019770660340055358	1	0.000192789666473877
477	evolution	3	0.0002965599051008304	1	0.000192789666473877
478	naive	2	0.00019770660340055358	1	0.000192789666473877
479	fit	3	0.0002965599051008304	2	0.000385579332947754
480	fits	2	0.00019770660340055358	1	0.000192789666473877
481	s1-e3	2	0.00019770660340055358	1	0.000192789666473877
