	Word	Frequency in Positive	Conditional of P(wi/positive)	Frequency in Negative	Conditional of P(wi/negative)
327	incident.	2.6	0.00022326412145568208	1.6	0.00023822285748317554
328	causes	2.6	0.00022326412145568208	1.6	0.00023822285748317554
329	hardworking	2.6	0.00022326412145568208	1.6	0.00023822285748317554
330	mess	2.6	0.00022326412145568208	2.6	0.0003871121434101602
331	boot	2.6	0.00022326412145568208	1.6	0.00023822285748317554
332	story-line	1.6	0.00013739330551118897	3.6	0.000536001429337145
333	later	5.6	0.00048087656928916137	4.6	0.0006848907152641296
334	life	8.6	0.0007384890171226407	6.6	0.000982669287118099
335	flat	1.6	0.00013739330551118897	2.6	0.0003871121434101602
336	are.	2.6	0.00022326412145568208	1.6	0.00023822285748317554
337	only	20.6	0.001768938808456558	10.6	0.0015782264308260379
338	candle	2.6	0.00022326412145568208	1.6	0.00023822285748317554
339	though.	2.6	0.00022326412145568208	1.6	0.00023822285748317554
340	kiss.	3.6	0.0003091349374001752	1.6	0.00023822285748317554
341	le	1.6	0.00013739330551118897	2.6	0.0003871121434101602
342	super	8.6	0.0007384890171226407	3.6	0.000536001429337145
343	song.i	3.6	0.0003091349374001752	1.6	0.00023822285748317554
344	epic	2.6	0.00022326412145568208	1.6	0.00023822285748317554
345	pheebe	1.6	0.00013739330551118897	2.6	0.0003871121434101602
346	horrified	2.6	0.00022326412145568208	1.6	0.00023822285748317554
347	pregnant	2.6	0.00022326412145568208	1.6	0.00023822285748317554
348	dialogues	5.6	0.00048087656928916137	1.6	0.00023822285748317554
349	which	25.6	0.0021982928881790235	5.6	0.0008337800011911143
350	bitter	2.6	0.00022326412145568208	2.6	0.0003871121434101602
351	accidentally	2.6	0.00022326412145568208	2.6	0.0003871121434101602
352	frightens	2.6	0.00022326412145568208	1.6	0.00023822285748317554
353	finer	1.6	0.00013739330551118897	2.6	0.0003871121434101602
354	stated	2.6	0.00022326412145568208	1.6	0.00023822285748317554
355	keep	8.6	0.0007384890171226407	2.6	0.0003871121434101602
356	hi	2.6	0.00022326412145568208	1.6	0.00023822285748317554
357	wow	2.6	0.00022326412145568208	1.6	0.00023822285748317554
358	handsome	2.6	0.00022326412145568208	1.6	0.00023822285748317554
359	result	2.6	0.00022326412145568208	1.6	0.00023822285748317554
360	buddies	2.6	0.00022326412145568208	1.6	0.00023822285748317554
361	dog	4.6	0.00039500575334466825	1.6	0.00023822285748317554
362	now	15.6	0.0013395847287340924	5.6	0.0008337800011911143
363	baby	9.6	0.0008243598330671338	3.6	0.000536001429337145
364	convinces	2.6	0.00022326412145568208	1.6	0.00023822285748317554
365	jeff	3.6	0.0003091349374001752	1.6	0.00023822285748317554
366	outburst	2.6	0.00022326412145568208	1.6	0.00023822285748317554
367	cool	2.6	0.00022326412145568208	2.6	0.0003871121434101602
368	cringy	1.6	0.00013739330551118897	3.6	0.000536001429337145
